"year","reg","stat","sex","s.age","length","mean","sd","n","se"
"169",1965,"2B ",102,"F",9,"length",87.6666666666667,5.85946527708232,3,3.38296385503074
"170",1965,"2B ",102,"F",10,"length",114.666666666667,24.8260615751539,3,14.3333333333333
"171",1965,"2B ",102,"F",11,"length",94,0,1,0
"172",1965,"2B ",102,"F",12,"length",140,0,1,0
"173",1965,"2B ",102,"F",13,"length",144,0,1,0
"174",1965,"2B ",102,"F",14,"length",124,0,1,0
"175",1965,"2B ",102,"F",16,"length",151.5,0.707106781186548,2,0.5
"176",1965,"2B ",102,"F",17,"length",145,0,1,0
"177",1965,"2B ",102,"M",8,"length",72,5.65685424949238,2,4
"178",1965,"2B ",102,"M",9,"length",72.3333333333333,4.50924975282289,3,2.60341655863555
"179",1965,"2B ",102,"M",10,"length",74.25,4.57347424467075,4,2.28673712233537
"180",1965,"2B ",102,"M",11,"length",77,2.82842712474619,2,2
"181",1965,"2B ",102,"M",12,"length",86.25,0.957427107756338,4,0.478713553878169
"182",1965,"2B ",102,"M",13,"length",81,0,1,0
"183",1965,"2B ",102,"M",14,"length",93,0,1,0
"184",1965,"2B ",112,"F",13,"length",131,0,1,0
"185",1965,"2B ",112,"F",15,"length",137,0,1,0
"186",1965,"2B ",112,"F",18,"length",141,0,1,0
"187",1965,"2B ",112,"M",8,"length",81,0,1,0
"188",1965,"3B ",320,"F",7,"length",76.6666666666667,16.5025250593154,3,9.5277372853043
"189",1965,"3B ",320,"F",8,"length",92,13.5277492584687,3,7.81024967590665
"190",1965,"3B ",320,"F",9,"length",103.5,27.5771644662754,2,19.5
"191",1965,"3B ",320,"F",10,"length",117.5,7.04745817062199,4,3.523729085311
"192",1965,"3B ",320,"F",11,"length",113,17.5641680702503,5,7.85493475466219
"193",1965,"3B ",320,"F",12,"length",151,0,1,0
"194",1965,"3B ",320,"F",13,"length",147,0,1,0
"195",1965,"3B ",320,"F",14,"length",183,0,1,0
"196",1965,"3B ",320,"F",15,"length",146,1.4142135623731,2,1
"197",1965,"3B ",320,"M",7,"length",69.5,9.19238815542512,2,6.5
"198",1965,"3B ",320,"M",8,"length",73.5,13.4350288425444,2,9.5
"199",1965,"3B ",320,"M",10,"length",93,0,1,0
"200",1965,"3B ",320,"M",14,"length",110,0,1,0
"201",1965,"3B ",330,"F",7,"length",88.5,0.707106781186548,2,0.5
"202",1965,"3B ",330,"F",8,"length",101.5,19.0918830920368,2,13.5
"203",1965,"3B ",330,"F",9,"length",110.8,23.1883591485038,5,10.3701494685467
"204",1965,"3B ",330,"F",10,"length",114.833333333333,6.1454590281497,6,2.50887314235783
"205",1965,"3B ",330,"F",11,"length",141.5,0.707106781186548,2,0.5
"206",1965,"3B ",330,"F",12,"length",120.5,9.19238815542512,2,6.5
"207",1965,"3B ",330,"F",13,"length",151,0,1,0
"208",1965,"3B ",330,"F",14,"length",149,4.24264068711928,2,3
